"status","diet","common.name","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"resident","Frugivores","Puerto Rican Bullfinch",22,6,8,6,NA,18,NA,13,16,29,13,37,19,13,20,11,9,17,16,11,23,13,16,15,30,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"resident","Frugivores","Puerto Rican Stripe-headed Tanager",6,2,1,0,NA,1,NA,2,1,5,0,1,1,0,4,1,0,2,1,1,0,0,0,4,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"resident","Frugivores","Red-legged Thrush",2,2,5,0,NA,4,NA,10,5,5,6,3,8,6,3,3,3,5,4,4,5,4,6,2,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"resident","Frugivores","Yellow-faced Grassquit",0,0,0,1,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"resident","Frugivores","Zenaida Dove",0,0,0,1,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"resident","Insectivores-Elaenia","Carribean Elaenia",0,0,0,0,NA,0,NA,1,6,9,2,10,3,5,12,2,25,19,17,11,14,20,9,17,11,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"resident","Insectivores-Flycatchers","Gray Kingbird",0,0,0,0,NA,1,NA,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"resident","Insectivores-Flycatchers","Puero Rican Flycatcher",6,5,8,11,NA,4,NA,2,3,5,6,2,6,1,3,2,5,3,2,5,7,4,3,6,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"resident","Insectivores-Flycatchers","Puerto Rican Pewee",0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"resident","Insectivores-Flycatchers","Puerto Rican Tody",6,6,1,1,NA,1,NA,4,1,3,3,4,4,5,0,5,6,1,3,3,6,6,2,1,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"resident","Insectivores-Gleaners","Adelaide's Warbler",5,6,1,1,NA,7,NA,3,7,8,7,3,3,5,1,1,2,4,1,5,6,2,0,2,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"resident","Insectivores-Gleaners","Black-cowled Oriole",1,1,2,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"resident","Insectivores-Gleaners","Mangrove Cuckoo",0,0,0,0,NA,0,NA,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"resident","Insectivores-Gleaners","Puerto Rican Lizard Cuckoo",1,0,0,1,NA,0,NA,1,2,1,1,1,1,10,1,0,3,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"resident","Insectivores-Gleaners","Puerto Rican Vireo",4,2,1,0,NA,2,NA,2,4,3,0,3,2,3,0,0,0,0,2,1,3,2,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"resident","Insectivores-Gleaners","Troupial",4,0,2,4,NA,1,NA,0,0,2,1,2,1,3,0,1,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"resident","Nectarivores","Antillean Mango",3,1,2,2,NA,0,NA,0,1,0,1,0,2,0,1,1,22,0,0,1,5,2,1,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"resident","Nectarivores","Bananaquit",53,33,18,9,NA,17,NA,16,18,27,29,34,8,25,17,14,21,34,15,31,39,37,10,9,36,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"resident","Nectarivores","Puero Rican Emerald",0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
