"common.name","spp","spp.code","year","N","nets"
"Northern Waterthrush","Parkesia noveboracensis","NOWA",2010,0,9
"Blue-winged Warbler","Vermivora cyanoptera","BWWA",2010,0,9
"Black-and-white Warbler","Mniotilta varia","BAWW",2010,12,9
"Prothonotary Warbler","Protonotaria citrea","PROW",2010,0,9
"Swainson's Warbler","Limnothlypis swainsonii","SWWA",2010,0,9
"Kentucky Warbler","Geothlypis formosa","KEWA",2010,0,9
"Hooded Warbler","Setophaga citrina","HOWA",2010,3,9
"American Redstart","Setophaga ruticilla","AMRE",2010,8,9
"Cape May Warbler","Setophaga tigrina","CMWA",2010,0,9
"Northern Parula","Setophaga americana","NOPA",2010,6,9
"Magnolia Warbler","Setophaga magnolia","MAWA",2010,0,9
"Black-throated Blue Warbler","Setophaga caerulescens","BTBW",2010,0,9
"Prairie Warbler","Setophaga discolor","PRWA",2010,6,9
"Baltimore Oriole","Icterus galbula","BAOR",2010,0,9
"Indigo Bunting","Passerina cyanea","INBU",2010,0,9
"Rose-breasted Grosbeak","Pheucticus ludovicianus","RBGR",2010,3,9
"Merlin","Falco columbarius","MERL",2011,0,9
"Bicknell's Thrush","Catharus bicknelli","BITH",2011,0,9
"Ovenbird","Seiurus aurocapilla","OVEN",2011,20,9
"Worm-eating Warbler","Helmitheros vermivorum","WEWA",2011,0,9
"Northern Waterthrush","Parkesia noveboracensis","NOWA",2011,0,9
"Blue-winged Warbler","Vermivora cyanoptera","BWWA",2011,0,9
"Black-and-white Warbler","Mniotilta varia","BAWW",2011,12,9
"Prothonotary Warbler","Protonotaria citrea","PROW",2011,0,9
"Swainson's Warbler","Limnothlypis swainsonii","SWWA",2011,0,9
"Kentucky Warbler","Geothlypis formosa","KEWA",2011,0,9
"Hooded Warbler","Setophaga citrina","HOWA",2011,2,9
"American Redstart","Setophaga ruticilla","AMRE",2011,2,9
"Cape May Warbler","Setophaga tigrina","CMWA",2011,0,9
"Northern Parula","Setophaga americana","NOPA",2011,1,9
"Magnolia Warbler","Setophaga magnolia","MAWA",2011,0,9
"Black-throated Blue Warbler","Setophaga caerulescens","BTBW",2011,0,9
"Prairie Warbler","Setophaga discolor","PRWA",2011,1,9
"Baltimore Oriole","Icterus galbula","BAOR",2011,0,9
"Indigo Bunting","Passerina cyanea","INBU",2011,0,9
"Rose-breasted Grosbeak","Pheucticus ludovicianus","RBGR",2011,0,9
"Merlin","Falco columbarius","MERL",2012,1,9
"Bicknell's Thrush","Catharus bicknelli","BITH",2012,0,9
"Ovenbird","Seiurus aurocapilla","OVEN",2012,13,9
"Worm-eating Warbler","Helmitheros vermivorum","WEWA",2012,1,9
"Northern Waterthrush","Parkesia noveboracensis","NOWA",2012,0,9
"Blue-winged Warbler","Vermivora cyanoptera","BWWA",2012,0,9
"Black-and-white Warbler","Mniotilta varia","BAWW",2012,14,9
"Prothonotary Warbler","Protonotaria citrea","PROW",2012,0,9
"Swainson's Warbler","Limnothlypis swainsonii","SWWA",2012,0,9
"Kentucky Warbler","Geothlypis formosa","KEWA",2012,0,9
"Hooded Warbler","Setophaga citrina","HOWA",2012,0,9
"American Redstart","Setophaga ruticilla","AMRE",2012,5,9
"Cape May Warbler","Setophaga tigrina","CMWA",2012,0,9
"Northern Parula","Setophaga americana","NOPA",2012,1,9
"Magnolia Warbler","Setophaga magnolia","MAWA",2012,0,9
"Black-throated Blue Warbler","Setophaga caerulescens","BTBW",2012,0,9
"Prairie Warbler","Setophaga discolor","PRWA",2012,3,9
"Baltimore Oriole","Icterus galbula","BAOR",2012,0,9
"Indigo Bunting","Passerina cyanea","INBU",2012,1,9
"Rose-breasted Grosbeak","Pheucticus ludovicianus","RBGR",2012,0,9
